"almotriptan","-0.46 (-1.06, 0.14)","0.08 (-0.73, 0.89)","0.5 (0.07, 0.93)","1.09 (-0.02, 2.36)","-0.18 (-0.65, 0.28)","-0.17 (-0.65, 0.31)","-0.5 (-1.37, 0.32)","-0.47 (-1.47, 0.5)","-1 (-1.31, -0.69)","-0.11 (-0.55, 0.33)","0.21 (-0.22, 0.64)","0.15 (-0.2, 0.49)","-0.28 (-0.8, 0.26)","0.11 (-0.27, 0.49)"
"0.46 (-0.14, 1.06)","celecoxib","0.53 (-0.37, 1.45)","0.96 (0.36, 1.56)","1.55 (0.36, 2.88)","0.27 (-0.35, 0.9)","0.29 (-0.34, 0.93)","-0.05 (-1, 0.88)","-0.01 (-1.09, 1.04)","-0.54 (-1.06, -0.03)","0.35 (-0.25, 0.95)","0.67 (0.07, 1.27)","0.61 (0.06, 1.16)","0.18 (-0.49, 0.86)","0.57 (-0.03, 1.18)"
"-0.08 (-0.89, 0.73)","-0.53 (-1.45, 0.37)","diclofenac_potassium","0.42 (-0.39, 1.23)","1.02 (-0.3, 2.46)","-0.26 (-1.09, 0.57)","-0.25 (-1.09, 0.59)","-0.58 (-1.69, 0.49)","-0.55 (-1.76, 0.64)","-1.07 (-1.83, -0.33)","-0.19 (-1, 0.62)","0.13 (-0.68, 0.95)","0.07 (-0.71, 0.84)","-0.36 (-1.22, 0.52)","0.03 (-0.78, 0.85)"
"-0.5 (-0.93, -0.07)","-0.96 (-1.56, -0.36)","-0.42 (-1.23, 0.39)","eletriptan","0.59 (-0.52, 1.86)","-0.69 (-1.15, -0.21)","-0.67 (-1.14, -0.19)","-1 (-1.78, -0.26)","-0.97 (-1.97, 0)","-1.5 (-1.81, -1.19)","-0.61 (-1.05, -0.16)","-0.29 (-0.72, 0.15)","-0.35 (-0.69, 0)","-0.78 (-1.3, -0.23)","-0.39 (-0.78, 0.01)"
"-1.09 (-2.36, 0.02)","-1.55 (-2.88, -0.36)","-1.02 (-2.46, 0.3)","-0.59 (-1.86, 0.52)","ibuprofen","-1.28 (-2.56, -0.15)","-1.26 (-2.54, -0.13)","-1.6 (-3.06, -0.27)","-1.57 (-3.11, -0.14)","-2.09 (-3.32, -1.02)","-1.21 (-2.47, -0.09)","-0.88 (-2.15, 0.23)","-0.94 (-2.19, 0.14)","-1.38 (-2.67, -0.21)","-0.98 (-2.25, 0.14)"
"0.18 (-0.28, 0.65)","-0.27 (-0.9, 0.35)","0.26 (-0.57, 1.09)","0.69 (0.21, 1.15)","1.28 (0.15, 2.56)","lasmiditan","0.02 (-0.49, 0.52)","-0.32 (-1.2, 0.52)","-0.28 (-1.29, 0.7)","-0.81 (-1.16, -0.47)","0.07 (-0.39, 0.54)","0.4 (-0.07, 0.86)","0.33 (-0.06, 0.73)","-0.1 (-0.64, 0.46)","0.3 (-0.17, 0.76)"
"0.17 (-0.31, 0.65)","-0.29 (-0.93, 0.34)","0.25 (-0.59, 1.09)","0.67 (0.19, 1.14)","1.26 (0.13, 2.54)","-0.02 (-0.52, 0.49)","naproxen_sodium","-0.33 (-1.23, 0.52)","-0.3 (-1.32, 0.7)","-0.83 (-1.21, -0.46)","0.06 (-0.42, 0.54)","0.38 (-0.1, 0.86)","0.32 (-0.05, 0.69)","-0.11 (-0.68, 0.47)","0.28 (-0.19, 0.75)"
"0.5 (-0.32, 1.37)","0.05 (-0.88, 1)","0.58 (-0.49, 1.69)","1 (0.26, 1.78)","1.6 (0.27, 3.06)","0.32 (-0.52, 1.2)","0.33 (-0.52, 1.23)","naratriptan","0.04 (-1.19, 1.26)","-0.5 (-1.26, 0.31)","0.39 (-0.44, 1.26)","0.71 (-0.11, 1.58)","0.65 (-0.13, 1.48)","0.22 (-0.66, 1.15)","0.61 (-0.2, 1.47)"
"0.47 (-0.5, 1.47)","0.01 (-1.04, 1.09)","0.55 (-0.64, 1.76)","0.97 (0, 1.97)","1.57 (0.14, 3.11)","0.28 (-0.7, 1.29)","0.3 (-0.7, 1.32)","-0.04 (-1.26, 1.19)","paracetamol","-0.53 (-1.45, 0.42)","0.36 (-0.61, 1.36)","0.68 (-0.25, 1.64)","0.62 (-0.32, 1.59)","0.19 (-0.83, 1.24)","0.58 (-0.38, 1.57)"
"1 (0.69, 1.31)","0.54 (0.03, 1.06)","1.07 (0.33, 1.83)","1.5 (1.19, 1.81)","2.09 (1.02, 3.32)","0.81 (0.47, 1.16)","0.83 (0.46, 1.21)","0.5 (-0.31, 1.26)","0.53 (-0.42, 1.45)","placebo","0.89 (0.58, 1.21)","1.21 (0.9, 1.52)","1.15 (0.96, 1.34)","0.72 (0.3, 1.17)","1.11 (0.8, 1.43)"
"0.11 (-0.33, 0.55)","-0.35 (-0.95, 0.25)","0.19 (-0.62, 1)","0.61 (0.16, 1.05)","1.21 (0.09, 2.47)","-0.07 (-0.54, 0.39)","-0.06 (-0.54, 0.42)","-0.39 (-1.26, 0.44)","-0.36 (-1.36, 0.61)","-0.89 (-1.21, -0.58)","rimegepant","0.32 (-0.12, 0.76)","0.26 (-0.1, 0.62)","-0.17 (-0.7, 0.37)","0.22 (-0.22, 0.66)"
"-0.21 (-0.64, 0.22)","-0.67 (-1.27, -0.07)","-0.13 (-0.95, 0.68)","0.29 (-0.15, 0.72)","0.88 (-0.23, 2.15)","-0.4 (-0.86, 0.07)","-0.38 (-0.86, 0.1)","-0.71 (-1.58, 0.11)","-0.68 (-1.64, 0.25)","-1.21 (-1.52, -0.9)","-0.32 (-0.76, 0.12)","rizatriptan","-0.06 (-0.42, 0.3)","-0.49 (-1.02, 0.05)","-0.1 (-0.5, 0.31)"
"-0.15 (-0.49, 0.2)","-0.61 (-1.16, -0.06)","-0.07 (-0.84, 0.71)","0.35 (0, 0.69)","0.94 (-0.14, 2.19)","-0.33 (-0.73, 0.06)","-0.32 (-0.69, 0.05)","-0.65 (-1.48, 0.13)","-0.62 (-1.59, 0.32)","-1.15 (-1.34, -0.96)","-0.26 (-0.62, 0.1)","0.06 (-0.3, 0.42)","sumatriptan","-0.43 (-0.89, 0.05)","-0.04 (-0.37, 0.3)"
"0.28 (-0.26, 0.8)","-0.18 (-0.86, 0.49)","0.36 (-0.52, 1.22)","0.78 (0.23, 1.3)","1.38 (0.21, 2.67)","0.1 (-0.46, 0.64)","0.11 (-0.47, 0.68)","-0.22 (-1.15, 0.66)","-0.19 (-1.24, 0.83)","-0.72 (-1.17, -0.3)","0.17 (-0.37, 0.7)","0.49 (-0.05, 1.02)","0.43 (-0.05, 0.89)","ubrogepant","0.39 (-0.15, 0.92)"
"-0.11 (-0.49, 0.27)","-0.57 (-1.18, 0.03)","-0.03 (-0.85, 0.78)","0.39 (-0.01, 0.78)","0.98 (-0.14, 2.25)","-0.3 (-0.76, 0.17)","-0.28 (-0.75, 0.19)","-0.61 (-1.47, 0.2)","-0.58 (-1.57, 0.38)","-1.11 (-1.43, -0.8)","-0.22 (-0.66, 0.22)","0.1 (-0.31, 0.5)","0.04 (-0.3, 0.37)","-0.39 (-0.92, 0.15)","zolmitriptan"
